buffer_id,StockNumber,Year,Make,Model,Type,VIN,price,truckcondition,Sleeper,EngineMake,EngineModel,HP,EngineBrake,Axles,Suspension,Transmission,FCapacity,RCapacity,GVWR,Wheelbase,Tires,ExtNotes,RearEndRatio,Color,Odometer,Dealership,City,State,LastEditDate,Photos,enabled
002166A,002166A,2008,MACK,CXU613,DAY CAB,1M1AW07Y28N002166,,Used,,Mack,MP8,485,,3.73,,18 SPEED ULTRA SHIFT,,,0,189,,,3.73,White,781000.0,Transolutions Truck Centres Ltd.,Winnipeg,MB,,https://tstruck.truckcrm.com/JPG/inventory/vehicle/002166A/002166A-01.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/002166A/002166A-02.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/002166A/002166A-03.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/002166A/002166A-04.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/002166A/002166A-05.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/002166A/002166A-06.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/002166A/002166A-07.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/002166A/002166A-08.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/002166A/002166A-09.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/002166A/002166A-10.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/002166A/002166A-11.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/002166A/002166A-12.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/002166A/002166A-13.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/002166A/002166A-14.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/002166A/002166A-15.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/002166A/002166A-16.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/002166A/002166A-17.jpg,
017850A,017850A,2012,MACK,CXU613,DAY CAB,1M1AW07Y4CM017850,,Used,,Mack,MP8,485,,3.55,,12 SPEED AUTO,,,0,189,,,3.55,White,521984.0,Transolutions Truck Centres Ltd.,Winnipeg,MB,,https://tstruck.truckcrm.com/JPG/inventory/vehicle/017850A/017850A-01.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017850A/017850A-02.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017850A/017850A-03.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017850A/017850A-04.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017850A/017850A-05.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017850A/017850A-06.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017850A/017850A-07.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017850A/017850A-08.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017850A/017850A-09.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017850A/017850A-10.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017850A/017850A-11.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017850A/017850A-12.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017850A/017850A-13.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017850A/017850A-14.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017850A/017850A-15.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017850A/017850A-16.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017850A/017850A-17.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017850A/017850A-18.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017850A/017850A-19.jpg,
017858A,017858A,2012,MACK,MACK,DAY CAB,1M1AW07Y9CM017858,,Used,,Mack,MP8,505,,3.58,,12 Speed Auto,,,0,216,,,3.58,Black,1140570.0,Transolutions Truck Centres Ltd.,Winnipeg,MB,,https://tstruck.truckcrm.com/JPG/inventory/vehicle/017858A/017858A-01.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017858A/017858A-02.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017858A/017858A-03.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017858A/017858A-04.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017858A/017858A-05.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017858A/017858A-06.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017858A/017858A-07.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017858A/017858A-08.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017858A/017858A-09.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017858A/017858A-10.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017858A/017858A-11.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017858A/017858A-12.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017858A/017858A-13.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017858A/017858A-14.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017858A/017858A-15.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017858A/017858A-16.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017858A/017858A-17.jpg,
017853A,017853A,2012,MACK,MACK,DAY CAB,1M1AW07YXCM017853,,Used,,Mack,MP8,485,,3.55,,12 Speed Auto,,,0,185,,,3.55,Grey,583074.0,Transolutions Truck Centres Ltd.,Winnipeg,MB,,https://tstruck.truckcrm.com/JPG/inventory/vehicle/017853A/017853A-01.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017853A/017853A-02.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017853A/017853A-03.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017853A/017853A-04.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017853A/017853A-05.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017853A/017853A-06.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017853A/017853A-07.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017853A/017853A-08.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017853A/017853A-09.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017853A/017853A-10.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017853A/017853A-11.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017853A/017853A-12.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017853A/017853A-13.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017853A/017853A-14.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017853A/017853A-15.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017853A/017853A-16.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/017853A/017853A-17.jpg,
269331A,269331A,2016,PETERBILT,579,70MRXT,1XPBDP9X7GD269331,,Used,,Pacar,MX13,455,,3.55,,12 Speed Auto,,,0,232,,,3.55,YELLOW,1103003.0,Transolutions Truck Centres Ltd.,Winnipeg,MB,,https://tstruck.truckcrm.com/JPG/inventory/vehicle/269331A/269331A-01.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269331A/269331A-02.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269331A/269331A-03.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269331A/269331A-04.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269331A/269331A-05.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269331A/269331A-06.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269331A/269331A-07.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269331A/269331A-08.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269331A/269331A-09.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269331A/269331A-10.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269331A/269331A-11.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269331A/269331A-12.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269331A/269331A-13.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269331A/269331A-14.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269331A/269331A-15.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269331A/269331A-16.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269331A/269331A-17.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269331A/269331A-18.jpg,
GK3279A,GK3279A,2015,FREIGHTLINER,CA125,72XT,3AKJGLD65FSGK3279,,Used,,Detroit,DD15,505,,3.70,,RTLO-16913A,,,0,232,,,3.70,White,939735.0,Transolutions Truck Centres Ltd.,Winnipeg,MB,,https://tstruck.truckcrm.com/JPG/inventory/vehicle/GK3279A/GK3279A-01.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/GK3279A/GK3279A-02.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/GK3279A/GK3279A-03.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/GK3279A/GK3279A-04.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/GK3279A/GK3279A-05.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/GK3279A/GK3279A-06.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/GK3279A/GK3279A-07.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/GK3279A/GK3279A-08.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/GK3279A/GK3279A-09.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/GK3279A/GK3279A-10.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/GK3279A/GK3279A-11.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/GK3279A/GK3279A-12.jpg,
958937A,958937A,2016,VOLVO,VNL64,DAY CAB,4V4NC9TH8GN958937,,Used,,Cummins,ISX,455,,2.64,,Ultra Shift Auto,,,0,196,,,2.64,GOLD,895805.0,Transolutions Truck Centres Ltd.,Winnipeg,MB,,https://tstruck.truckcrm.com/JPG/inventory/vehicle/958937A/958937A-01.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/958937A/958937A-02.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/958937A/958937A-03.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/958937A/958937A-04.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/958937A/958937A-05.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/958937A/958937A-06.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/958937A/958937A-07.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/958937A/958937A-08.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/958937A/958937A-09.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/958937A/958937A-10.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/958937A/958937A-11.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/958937A/958937A-12.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/958937A/958937A-13.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/958937A/958937A-14.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/958937A/958937A-15.jpg,
046287A,046287A,2015,MACK,MACK,60XT,1M1AW07YXFM046287,,Used,,Mack,MP8,505,,3.73,,18-SPEED MANUAL,,,0,225,,,3.73,RED,780694.0,Transolutions Truck Centres Ltd.,Winnipeg,MB,,https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-01.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-02.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-03.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-04.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-05.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-06.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-07.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-08.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-09.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-10.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-11.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-12.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-13.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-14.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-15.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-16.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-17.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-18.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-19.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-20.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-21.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-22.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-23.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/046287A/046287A-24.jpg,
946310A,946310A,2019,KENWORTH,T680,,1XKYDP9X7KJ946310,,Used,,,,,,,,,,,0,,,,,,572543.0,Transolutions Truck Centres Ltd.,Winnipeg,MB,,https://tstruck.truckcrm.com/JPG/inventory/vehicle/946310A/946310A-01.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/946310A/946310A-02.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/946310A/946310A-03.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/946310A/946310A-04.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/946310A/946310A-05.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/946310A/946310A-06.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/946310A/946310A-07.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/946310A/946310A-08.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/946310A/946310A-09.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/946310A/946310A-10.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/946310A/946310A-11.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/946310A/946310A-12.jpg,
910834A,910834A,2015,VOLVO,VN630,60XT,4V4NC9EH6FN910834,,Used,,Volvo,D13,455,,3.36,,I-Shift,,,0,210,,,3.36,Red,894658.0,Transolutions Truck Centres Ltd.,Winnipeg,MB,,https://tstruck.truckcrm.com/JPG/inventory/vehicle/910834A/910834A-01.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/910834A/910834A-02.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/910834A/910834A-03.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/910834A/910834A-04.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/910834A/910834A-05.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/910834A/910834A-06.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/910834A/910834A-07.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/910834A/910834A-08.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/910834A/910834A-09.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/910834A/910834A-10.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/910834A/910834A-11.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/910834A/910834A-12.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/910834A/910834A-13.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/910834A/910834A-14.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/910834A/910834A-15.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/910834A/910834A-16.jpg,
X49380A,X49380A,2007,FREIGHTLINER,CL120,68XT,1FUJA6CV27LX49380,,Used,,Mercedes,Info Not Provided,450,,3.73,,18 Speed Manual,,,0,232,,,3.73,Blue,1086452.0,Transolutions Truck Centres Ltd.,Winnipeg,MB,,https://tstruck.truckcrm.com/JPG/inventory/vehicle/X49380A/X49380A-01.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/X49380A/X49380A-02.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/X49380A/X49380A-03.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/X49380A/X49380A-04.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/X49380A/X49380A-05.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/X49380A/X49380A-06.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/X49380A/X49380A-07.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/X49380A/X49380A-08.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/X49380A/X49380A-09.jpg,
269329A,269329A,2016,PETERBILT,579,70MRXT,1XPBDP9X9GD269329,,Used,,Pacar,MX13,455,,3.55,,12 Speed Auto,,,0,232,,,3.55,YELLOW,1080382.0,Transolutions Truck Centres Ltd.,Winnipeg,MB,,https://tstruck.truckcrm.com/JPG/inventory/vehicle/269329A/269329A-01.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269329A/269329A-02.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269329A/269329A-03.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269329A/269329A-04.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269329A/269329A-05.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269329A/269329A-06.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269329A/269329A-07.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269329A/269329A-08.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269329A/269329A-09.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269329A/269329A-10.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269329A/269329A-11.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269329A/269329A-12.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269329A/269329A-13.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269329A/269329A-14.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269329A/269329A-15.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269329A/269329A-16.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269329A/269329A-17.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269329A/269329A-18.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/269329A/269329A-19.jpg,